nacchoid,yearsurvey,county_fips,cty_fip_adj,lhd_name,stabrev
AR064,2016,5131,05131,Sebastian County Health Unit,AR
AR066,2016,5135,05135,Sharp County Health Unit,AR
AR071,2006,5143,05143,Washington County Health Unit,AR
AR071,2016,5143,05143,Washington County Health Unit,AR
CA004,2006,6001,06001,Berkeley Public Health Department,CA
CA004,2012,6001,06001,Berkeley Public Health Department,CA
CA004,2014,6001,06001,Berkeley Public Health Department,CA
CA004,2016,6001,06001,Berkeley Public Health Department,CA
CA005,2014,6007,06007,Butte County Department Of Public Health,CA
CA008,2016,6013,06013,Cotra Costa Health Services Department,CA
CA010,2012,6017,06017,El Dorado County Public Health Department,CA
CA010,2014,6017,06017,El Dorado County Public Health Department,CA
CA010,2016,6017,06017,El Dorado County Public Health Department,CA
CA011,2014,6019,06019,Fresno County Public Health Department,CA
CA013,2012,6023,06023,Humboldt County Department Of Health And Human Services,CA
CA016,2006,6029,06029,Kern County Department Of Public Health,CA
CA016,2012,6029,06029,Kern County Department Of Public Health,CA
CA016,2016,6029,06029,Kern County Department Of Public Health,CA
CA019,2016,6035,06035,Lassen County Department of Health and Social Services,CA
CA020,2014,6037,06037,City Of Long Beach Department Of Health And Human Services,CA
CA033,2014,6037,06037,Pasadena Public Health Department,CA
CA033,2016,6037,06037,Pasadena Public Health Department,CA
CA045,2006,6037,06037,Los Angeles County Department Of Health Services,CA
CA045,2012,6037,06037,Los Angeles County Department Of Health Services,CA
CA045,2016,6037,06037,Los Angeles County Department Of Health Services,CA
CA022,2006,6039,06039,Madera County Public Health Department,CA
CA022,2012,6039,06039,Madera County Public Health Department,CA
CA022,2014,6039,06039,Madera County Public Health Department,CA
CA022,2016,6039,06039,Madera County Public Health Department,CA
CA024,2014,6043,06043,Mariposa County Health Department,CA
CA024,2016,6043,06043,Mariposa County Health Department,CA
CA025,2016,6045,06045,Mendocino County Health and Human Services Agency,CA
CA026,2016,6047,06047,Merced County Department Of Public Health,CA
CA027,2016,6049,06049,Modoc County Public Health Department,CA
CA029,2006,6053,06053,Monterey County Health Department,CA
CA029,2016,6053,06053,Monterey County Health Department,CA
CA031,2016,6057,06057,Nevada County Public Health Department,CA
CA032,2016,6059,06059,Orange County Public Health,CA
CA034,2016,6061,06061,Placer County Health & Human Services,CA
CA036,2014,6065,06065,County Of Riverside Department Of Health,CA
CA038,2016,6069,06069,San Benito County Health and Human Services,CA
CA039,2006,6071,06071,San Bernardino County Department Of Public Health,CA
CA040,2012,6073,06073,County Of San Diego Department Of Health Services,CA
CA040,2014,6073,06073,County Of San Diego Department Of Health Services,CA
CA040,2016,6073,06073,County Of San Diego Department Of Health Services,CA
CA041,2006,6075,06075,San Francisco Department Of Public Health,CA
CA041,2012,6075,06075,San Francisco Department Of Public Health,CA
CA042,2006,6077,06077,San Joaquin County Public Health Services,CA
CA042,2012,6077,06077,San Joaquin County Public Health Services,CA
CA042,2014,6077,06077,San Joaquin County Public Health Services,CA
CA042,2016,6077,06077,San Joaquin County Public Health Services,CA
CA043,2012,6079,06079,San Luis Obispo County Health Department,CA
CA043,2014,6079,06079,San Luis Obispo County Health Department,CA
CA043,2016,6079,06079,San Luis Obispo County Health Department,CA
CA044,2016,6081,06081,San Mateo County Health Department,CA
CA064,2014,6083,06083,Santa Barbara County Public Health Department,CA
CA046,2006,6085,06085,Santa Clara County Public Health,CA
CA046,2016,6085,06085,Santa Clara County Public Health,CA
CA047,2014,6087,06087,Santa Cruz County Health Services Agency,CA
CA048,2016,6089,06089,Shasta County Public Health Department,CA
CA049,2016,6091,06091,Sierra County Health Department,CA
CA051,2014,6095,06095,Solano County Health & Social Services,CA
CA051,2016,6095,06095,Solano County Health & Social Services,CA
CA052,2006,6097,06097,Sonoma County Department Of Health Services,CA
CA052,2012,6097,06097,Sonoma County Department Of Health Services,CA
CA052,2014,6097,06097,Sonoma County Department Of Health Services,CA
CA052,2016,6097,06097,Sonoma County Department Of Health Services,CA
CA054,2016,6101,06101,Sutter County Human Services - Health (Sutter County Public Health),CA
CA058,2012,6107,06107,Tulare County Health & Human Services Agency,CA
CA058,2014,6107,06107,Tulare County Health & Human Services Agency,CA
CA058,2016,6107,06107,Tulare County Health & Human Services Agency,CA
CA060,2012,6111,06111,Ventura County Public Health,CA
CA060,2014,6111,06111,Ventura County Public Health,CA
CA060,2016,6111,06111,Ventura County Public Health,CA
CA062,2006,6113,06113,Yolo County Health Department,CA
CA062,2012,6113,06113,Yolo County Health Department,CA
CA062,2014,6113,06113,Yolo County Health Department,CA
CA062,2016,6113,06113,Yolo County Health Department,CA
CO001,2014,8003,08003,Alamosa County Public Health Department,CO
CO001,2016,8003,08003,Alamosa County Public Health Department,CO
CO079,2014,8009,08009,Baca County Public Health Nursing Service,CO
CO006,2014,8013,08013,Boulder County Health Department,CO
CO006,2016,8013,08013,Boulder County Health Department,CO
CO007,2016,8015,08015,Chaffee County Public Health & Human Services,CO
CO009,2016,8017,08017,Cheyenne County Public Health,CO
CO087,2014,8019,08019,Clear Creek County Environmental Health Department,CO
CO011,2014,8021,08021,Conejos County Public Health Nursing Service,CO
CO011,2016,8021,08021,Conejos County Public Health Nursing Service,CO
CO015,2014,8029,08029,Delta County Department of Health & Human Services,CO
CO015,2016,8029,08029,Delta County Department of Health & Human Services,CO
CO016,2016,8031,08031,Denver Health Authority,CO
CO062,2014,8035,08035,Tri-County Health Department,CO
CO062,2016,8035,08035,Tri-County Health Department,CO
CO019,2006,8041,08041,El Paso County Department Of Health & Environment,CO
CO019,2014,8041,08041,El Paso County Department Of Health & Environment,CO
CO019,2016,8041,08041,El Paso County Department Of Health & Environment,CO
CO021,2016,8043,08043,Fremont County Public Health Agency,CO
CO023,2014,8045,08045,Garfield County Public Health Nursing Service,CO
CO023,2016,8045,08045,Garfield County Public Health Nursing Service,CO
CO026,2014,8051,08051,Public Health Division Gunnison County Dept H&H,CO
CO026,2016,8051,08051,Public Health Division Gunnison County Dept H&H,CO
CO013,2014,8053,08053,Hinsdale County Public Health,CO
CO013,2016,8053,08053,Hinsdale County Public Health,CO
CO029,2016,8059,08059,Jefferson County Department Of Health And Environment,CO
CO055,2014,8067,08067,San Juan Basin Health Department,CO
CO055,2016,8067,08067,San Juan Basin Health Department,CO
CO034,2006,8069,08069,Larimer County Department Of Health And Environment,CO
CO036,2014,8073,08073,Lincoln County Public Health,CO
CO036,2016,8073,08073,Lincoln County Public Health,CO
CO037,2006,8077,08077,Mesa County Health Department,CO
CO037,2016,8077,08077,Mesa County Health Department,CO
CO045,2014,8089,08089,Otero County Department of Health,CO
CO050,2012,8101,08101,Pueblo City-County Health Department,CO
CO050,2014,8101,08101,Pueblo City-County Health Department,CO
CO050,2016,8101,08101,Pueblo City-County Health Department,CO
CO044,2014,8107,08107,Northwest Colorado Visiting Nurse Association and Hospice,CO
CO044,2016,8107,08107,Northwest Colorado Visiting Nurse Association and Hospice,CO
CO054,2016,8109,08109,Saguache County Public Health,CO
CO060,2014,8119,08119,Teller County Public Health,CO
CO060,2016,8119,08119,Teller County Public Health,CO
CO064,2006,8123,08123,Weld County Health Department,CO
CT009,2014,9001,09001,City Of Bridgeport Health Department,CT
CT022,2014,9001,09001,City of Danbury Health & Human Services Department,CT
CT022,2016,9001,09001,City of Danbury Health & Human Services Department,CT
CT033,2014,9001,09001,Fairfield Health Department,CT
CT038,2016,9001,09001,Greenwich Department of Health,CT
CT063,2016,9001,09001,New Fairfield Health Department,CT
CT073,2014,9001,09001,Norwalk Health Department,CT
CT073,2016,9001,09001,Norwalk Health Department,CT
CT098,2014,9001,09001,Stratford Health Department,CT
CT098,2016,9001,09001,Stratford Health Department,CT
CT011,2014,9003,09003,Bristol-Burlington Health District,CT
CT011,2016,9003,09003,Bristol-Burlington Health District,CT
CT028,2016,9003,09003,East Hartford Health Department,CT
CT034,2014,9005,09005,Farmington Valley Health District,CT
CT034,2016,9005,09005,Farmington Valley Health District,CT
CT025,2016,9007,09007,Durham Health Department,CT
CT041,2016,9009,09009,Guilford Health Department,CT
CT060,2006,9009,09009,Naugatuck Valley Health District,CT
CT060,2012,9009,09009,Naugatuck Valley Health District,CT
CT060,2014,9009,09009,Naugatuck Valley Health District,CT
CT060,2016,9009,09009,Naugatuck Valley Health District,CT
CT064,2006,9009,09009,City Of New Haven Health Department,CT
CT064,2012,9009,09009,City Of New Haven Health Department,CT
CT064,2014,9009,09009,City Of New Haven Health Department,CT
CT064,2016,9009,09009,City Of New Haven Health Department,CT
CT082,2014,9009,09009,Quinnipiack Valley Health District,CT
CT082,2016,9009,09009,Quinnipiack Valley Health District,CT
CT106,2014,9009,09009,Waterbury Department Of Public Health,CT
CT081,2014,9011,09011,Preston Health Department,CT
CT102,2014,9011,09011,Uncas Health District,CT
CT102,2016,9011,09011,Uncas Health District,CT
CT131,2016,9013,09013,Chatham Health District,CT
CT071,2016,9015,09015,North Central District Health Department,CT
DE002,2012,10003,10003,Northeast State Service Center,DE
DE002,2016,10003,10003,Northeast State Service Center,DE
DE003,2006,10005,10005,Thurman Adams State Service Center,DE
DE003,2012,10005,10005,Thurman Adams State Service Center,DE
DE003,2016,10005,10005,Thurman Adams State Service Center,DE
DC001,2012,11001,11001,District of Columbia Department Of Health,DC
DC001,2014,11001,11001,District of Columbia Department Of Health,DC
FL002,2006,12001,12001,Alachua County Public Health Unit,FL
FL002,2016,12001,12001,Alachua County Public Health Unit,FL
FL006,2014,12009,12009,Brevard County Health Department,FL
FL006,2016,12009,12009,Brevard County Health Department,FL
FL007,2006,12011,12011,Broward County Health Department,FL
FL009,2006,12015,12015,Charlotte County Health Department,FL
FL010,2016,12017,12017,Citrus County Health Department,FL
FL011,2006,12019,12019,Clay County Health Department,FL
FL011,2012,12019,12019,Clay County Health Department,FL
FL011,2014,12019,12019,Clay County Health Department,FL
FL011,2016,12019,12019,Clay County Health Department,FL
FL012,2006,12021,12021,Collier County Public Health,FL
FL012,2012,12021,12021,Collier County Public Health,FL
FL012,2014,12021,12021,Collier County Public Health,FL
FL012,2016,12021,12021,Collier County Public Health,FL
FL013,2016,12023,12023,Columbia County Public Health Department,FL
FL001,2006,12031,12031,Duval County Health Department,FL
FL001,2012,12031,12031,Duval County Health Department,FL
FL001,2014,12031,12031,Duval County Health Department,FL
FL017,2006,12033,12033,Escambia County Health Department,FL
FL017,2012,12033,12033,Escambia County Health Department,FL
FL017,2016,12033,12033,Escambia County Health Department,FL
FL018,2016,12035,12035,Flagler County Health Department,FL
FL026,2006,12053,12053,Hernando County Health Department,FL
FL026,2012,12053,12053,Hernando County Health Department,FL
FL026,2014,12053,12053,Hernando County Health Department,FL
FL026,2016,12053,12053,Hernando County Health Department,FL
FL030,2006,12061,12061,Indian River County Health Department,FL
FL030,2012,12061,12061,Indian River County Health Department,FL
FL030,2016,12061,12061,Indian River County Health Department,FL
FL033,2016,12067,12067,Lafayette County Health Department,FL
FL034,2006,12069,12069,Lake County Health Department,FL
FL034,2012,12069,12069,Lake County Health Department,FL
FL035,2006,12071,12071,Lee County Health Department,FL
FL035,2012,12071,12071,Lee County Health Department,FL
FL035,2014,12071,12071,Lee County Health Department,FL
FL035,2016,12071,12071,Lee County Health Department,FL
FL036,2006,12073,12073,Leon County Health Department,FL
FL036,2012,12073,12073,Leon County Health Department,FL
FL036,2016,12073,12073,Leon County Health Department,FL
FL039,2016,12079,12079,Madison County Health Department,FL
FL040,2012,12081,12081,Manatee County Health Department,FL
FL040,2014,12081,12081,Manatee County Health Department,FL
FL040,2016,12081,12081,Manatee County Health Department,FL
FL041,2016,12083,12083,Marion County Health Department,FL
FL042,2014,12085,12085,Martin County Health Department,FL
FL042,2016,12085,12085,Martin County Health Department,FL
FL014,2006,12086,12086,Florida Department Of Health-Dade County Health Department,FL
FL014,2012,12086,12086,Florida Department Of Health-Dade County Health Department,FL
FL014,2014,12086,12086,Florida Department Of Health-Dade County Health Department,FL
FL043,2016,12087,12087,Monroe County Health Department,FL
FL045,2006,12091,12091,Okaloosa County Health Department,FL
FL045,2012,12091,12091,Okaloosa County Health Department,FL
FL045,2016,12091,12091,Okaloosa County Health Department,FL
FL047,2006,12095,12095,Orange County Health Department,FL
FL047,2012,12095,12095,Orange County Health Department,FL
FL047,2014,12095,12095,Orange County Health Department,FL
FL047,2016,12095,12095,Orange County Health Department,FL
FL048,2006,12097,12097,Osceola County Health Department,FL
FL049,2012,12099,12099,Palm Beach County Health Department,FL
FL049,2014,12099,12099,Palm Beach County Health Department,FL
FL049,2016,12099,12099,Palm Beach County Health Department,FL
FL050,2006,12101,12101,Pasco County Health Department,FL
FL050,2012,12101,12101,Pasco County Health Department,FL
FL050,2014,12101,12101,Pasco County Health Department,FL
FL050,2016,12101,12101,Pasco County Health Department,FL
FL051,2006,12103,12103,Pinellas County Health Department,FL
FL051,2012,12103,12103,Pinellas County Health Department,FL
FL051,2014,12103,12103,Pinellas County Health Department,FL
FL051,2016,12103,12103,Pinellas County Health Department,FL
FL052,2016,12105,12105,Polk County Health Department,FL
FL058,2014,12111,12111,St Lucie County Health Department,FL
FL058,2016,12111,12111,St Lucie County Health Department,FL
FL054,2016,12113,12113,Santa Rosa County Health Department,FL
FL055,2006,12115,12115,Sarasota County Health Department,FL
FL055,2012,12115,12115,Sarasota County Health Department,FL
FL055,2014,12115,12115,Sarasota County Health Department,FL
FL056,2014,12117,12117,Seminole County Health Department,FL
FL056,2016,12117,12117,Seminole County Health Department,FL
FL062,2016,12125,12125,Union County Health Department,FL
FL063,2006,12127,12127,Volusia County Health Department,FL
FL063,2012,12127,12127,Volusia County Health Department,FL
FL063,2014,12127,12127,Volusia County Health Department,FL
GA011,2006,13021,13021,Macon-Bibb County Health Department,GA
GA011,2012,13021,13021,Macon-Bibb County Health Department,GA
GA011,2014,13021,13021,Macon-Bibb County Health Department,GA
GA025,2006,13051,13051,Chatham County Health Department,GA
GA025,2014,13051,13051,Chatham County Health Department,GA
GA028,2006,13057,13057,Cherokee County Health Department,GA
GA028,2016,13057,13057,Cherokee County Health Department,GA
GA034,2006,13067,13067,Cobb & Douglas Counties Boards Of Health,GA
GA034,2012,13067,13067,Cobb & Douglas Counties Boards Of Health,GA
GA034,2014,13067,13067,Cobb & Douglas Counties Boards Of Health,GA
GA034,2016,13067,13067,Cobb & Douglas Counties Boards Of Health,GA
GA045,2006,13089,13089,Dekalb County Board Of Health,GA
GA045,2012,13089,13089,Dekalb County Board Of Health,GA
GA045,2014,13089,13089,Dekalb County Board Of Health,GA
GA045,2016,13089,13089,Dekalb County Board Of Health,GA
GA101,2014,13197,13197,Marion County Health Department,GA
GA038,2006,13215,13215,Columbus (Muscogee) Department Of Public Health,GA
GA038,2014,13215,13215,Columbus (Muscogee) Department Of Public Health,GA
GA038,2016,13215,13215,Columbus (Muscogee) Department Of Public Health,GA
GA127,2006,13245,13245,Richmond County Health Department,GA
GA127,2012,13245,13245,Richmond County Health Department,GA
GA071,2012,13247,13247,District 3-4 Public Health Office,GA
GA071,2014,13247,13247,District 3-4 Public Health Office,GA
GA071,2016,13247,13247,District 3-4 Public Health Office,GA
GA152,2016,13293,13293,Upson County Health Department,GA
HI002,2006,15001,15001,Hawaii District Health Office,HI
HI002,2012,15001,15001,Hawaii District Health Office,HI
HI002,2016,15001,15001,Hawaii District Health Office,HI
ID003,2006,16069,16069,North Central District Health Department,ID
ID003,2012,16069,16069,North Central District Health Department,ID
ID003,2014,16069,16069,North Central District Health Department,ID
ID003,2016,16069,16069,North Central District Health Department,ID
ID007,2006,16077,16077,Southeastern District Health Department,ID
ID007,2012,16077,16077,Southeastern District Health Department,ID
ID007,2014,16077,16077,Southeastern District Health Department,ID
ID007,2016,16077,16077,Southeastern District Health Department,ID
ID004,2006,16079,16079,Panhandle Health District,ID
ID004,2012,16079,16079,Panhandle Health District,ID
ID004,2014,16079,16079,Panhandle Health District,ID
ID004,2016,16079,16079,Panhandle Health District,ID
ID002,2006,16081,16081,Eastern Idaho Public Health District,ID
ID002,2012,16081,16081,Eastern Idaho Public Health District,ID
ID002,2014,16081,16081,Eastern Idaho Public Health District,ID
ID002,2016,16081,16081,Eastern Idaho Public Health District,ID
ID006,2006,16083,16083,South Central District Health Department,ID
ID006,2012,16083,16083,South Central District Health Department,ID
ID006,2014,16083,16083,South Central District Health Department,ID
ID006,2016,16083,16083,South Central District Health Department,ID
ID001,2006,16085,16085,Central District Health Department,ID
ID001,2012,16085,16085,Central District Health Department,ID
ID001,2014,16085,16085,Central District Health Department,ID
ID005,2006,16087,16087,Southwest District Health Department,ID
ID005,2012,16087,16087,Southwest District Health Department,ID
ID005,2016,16087,16087,Southwest District Health Department,ID
IL001,2014,17001,17001,Adams Co Health Dept,IL
IL001,2016,17001,17001,Adams Co Health Dept,IL
IL008,2006,17019,17019,Champaign-Urbana Public Health District,IL
IL008,2012,17019,17019,Champaign-Urbana Public Health District,IL
IL008,2014,17019,17019,Champaign-Urbana Public Health District,IL
IL008,2016,17019,17019,Champaign-Urbana Public Health District,IL
IL012,2014,17029,17029,Coles County Health Department,IL
IL012,2016,17029,17029,Coles County Health Department,IL
IL009,2006,17031,17031,City Of Chicago Department Of Public Health,IL
IL009,2016,17031,17031,City Of Chicago Department Of Public Health,IL
IL013,2006,17031,17031,Cook County Department Of Public Health,IL
IL078,2014,17031,17031,Stickney Public Health District,IL
IL078,2016,17031,17031,Stickney Public Health District,IL
IL009,2012,17043,17043,City Of Chicago Department Of Public Health,IL
IL018,2014,17043,17043,Dupage County Health Department,IL
IL018,2016,17043,17043,Dupage County Health Department,IL
IL028,2014,17063,17063,Grundy County Health Department,IL
IL028,2016,17063,17063,Grundy County Health Department,IL
IL030,2014,17067,17067,Hancock County Health Department,IL
IL032,2014,17073,17073,Henry County Health Department,IL
IL032,2016,17073,17073,Henry County Health Department,IL
IL033,2016,17077,17077,Jackson County Health Department,IL
IL038,2014,17089,17089,Kane County Health Department,IL
IL038,2016,17089,17089,Kane County Health Department,IL
IL043,2006,17097,17097,Lake County Health Department,IL
IL043,2012,17097,17097,Lake County Health Department,IL
IL043,2014,17097,17097,Lake County Health Department,IL
IL043,2016,17097,17097,Lake County Health Department,IL
IL045,2016,17103,17103,Lee County Health Department,IL
IL046,2016,17105,17105,Livingston County Health Department,IL
IL053,2006,17111,17111,Mchenry County Department Of Health,IL
IL053,2012,17111,17111,Mchenry County Department Of Health,IL
IL053,2014,17111,17111,Mchenry County Department Of Health,IL
IL053,2016,17111,17111,Mchenry County Department Of Health,IL
IL054,2006,17113,17113,Mclean County Health Department,IL
IL054,2012,17113,17113,Mclean County Health Department,IL
IL054,2014,17113,17113,Mclean County Health Department,IL
IL054,2016,17113,17113,Mclean County Health Department,IL
IL048,2006,17115,17115,Macon County Health Department,IL
IL048,2012,17115,17115,Macon County Health Department,IL
IL048,2014,17115,17115,Macon County Health Department,IL
IL090,2006,17119,17119,Madison County Health Department,IL
IL090,2012,17119,17119,Madison County Health Department,IL
IL090,2014,17119,17119,Madison County Health Department,IL
IL090,2016,17119,17119,Madison County Health Department,IL
IL051,2016,17125,17125,Mason County Health Department,IL
IL050,2012,17143,17143,Peoria City/County Health Department,IL
IL050,2014,17143,17143,Peoria City/County Health Department,IL
IL050,2016,17143,17143,Peoria City/County Health Department,IL
IL067,2012,17161,17161,Rock Island County Health Department,IL
IL067,2014,17161,17161,Rock Island County Health Department,IL
IL067,2016,17161,17161,Rock Island County Health Department,IL
IL075,2012,17163,17163,St Clair County Health Department,IL
IL075,2014,17163,17163,St Clair County Health Department,IL
IL075,2016,17163,17163,St Clair County Health Department,IL
IL074,2014,17167,17167,Sangamon County Department of Public Health,IL
IL079,2006,17179,17179,Tazewell County Health Department,IL
IL079,2012,17179,17179,Tazewell County Health Department,IL
IL079,2014,17179,17179,Tazewell County Health Department,IL
IL079,2016,17179,17179,Tazewell County Health Department,IL
IL084,2006,17197,17197,Will County Health Department,IL
IL084,2012,17197,17197,Will County Health Department,IL
IL084,2016,17197,17197,Will County Health Department,IL
IL025,2014,17199,17199,Franklin-Williamson Bi-County Health Department,IL
IN002,2014,18003,18003,Fort Wayne-Allen County Department Of Health,IN
IN002,2016,18003,18003,Fort Wayne-Allen County Department Of Health,IN
IN015,2014,18033,18033,DeKalb County Health Department,IN
IN021,2006,18039,18039,Elkhart County Health Department,IN
IN021,2012,18039,18039,Elkhart County Health Department,IN
IN021,2014,18039,18039,Elkhart County Health Department,IN
IN021,2016,18039,18039,Elkhart County Health Department,IN
IN028,2014,18051,18051,Gibson County Health Department,IN
IN028,2016,18051,18051,Gibson County Health Department,IN
IN031,2016,18057,18057,Hamilton County Health Department,IN
IN036,2016,18065,18065,Henry County Health Department,IN
IN037,2016,18067,18067,Howard County Health Department,IN
IN027,2006,18089,18089,Gary Health Department,IN
IN050,2014,18091,18091,Laporte County Health Department,IN
IN050,2016,18091,18091,Laporte County Health Department,IN
IN052,2012,18095,18095,Madison County Health Department,IN
IN052,2016,18095,18095,Madison County Health Department,IN
IN057,2006,18105,18105,Monroe County Health Department,IN
IN057,2012,18105,18105,Monroe County Health Department,IN
IN057,2014,18105,18105,Monroe County Health Department,IN
IN057,2016,18105,18105,Monroe County Health Department,IN
IN068,2006,18127,18127,Porter County Health Department,IN
IN068,2012,18127,18127,Porter County Health Department,IN
IN068,2016,18127,18127,Porter County Health Department,IN
IN073,2014,18137,18137,Ripley County Health Department,IN
IN073,2016,18137,18137,Ripley County Health Department,IN
IN078,2006,18141,18141,St Joseph County Health Department,IN
IN078,2012,18141,18141,St Joseph County Health Department,IN
IN078,2014,18141,18141,St Joseph County Health Department,IN
IN078,2016,18141,18141,St Joseph County Health Department,IN
IN083,2014,18157,18157,Tippecanoe County Health Department,IN
IN083,2016,18157,18157,Tippecanoe County Health Department,IN
IN086,2012,18163,18163,Vanderburgh County Health Department,IN
IN086,2016,18163,18163,Vanderburgh County Health Department,IN
IN088,2016,18167,18167,Vigo County Health Department,IN
IA012,2016,19019,19019,Buchanan County Health Center Public Health Department,IA
IA018,2014,19031,19031,Cedar County Public Health,IA
IA018,2016,19031,19031,Cedar County Public Health,IA
IA022,2014,19037,19037,Chickasaw Co. Public Health Agency,IA
IA022,2016,19037,19037,Chickasaw Co. Public Health Agency,IA
IA040,2016,19061,19061,Dubuque County Health Department,IA
IA042,2014,19063,19063,Emmet County Public Health,IA
IA042,2016,19063,19063,Emmet County Public Health,IA
IA064,2006,19103,19103,Johnson County Department Of Public Health,IA
IA064,2012,19103,19103,Johnson County Department Of Public Health,IA
IA064,2014,19103,19103,Johnson County Department Of Public Health,IA
IA064,2016,19103,19103,Johnson County Department Of Public Health,IA
IA069,2014,19113,19113,Linn County Health Department,IA
IA069,2016,19113,19113,Linn County Health Department,IA
IA088,2014,19147,19147,Palo Alto County Community Health Service,IA
IA090,2016,19151,19151,Pocahontas County Nursing and Health Service,IA
IA092,2014,19153,19153,Polk County Health Department,IA
IA092,2016,19153,19153,Polk County Health Department,IA
IA098,2006,19163,19163,Scott County Health Department,IA
